Query Case No.,Similar Case No.,Similarity Score
C.A._1022_2012,judgement_C.A.1022-2012,1.0
C.A._1022_2012,judgement_C.A.1213-2015,0.9997
C.A._1022_2012,judgement_Crl.P.L.A.198-2016,0.9996
C.A._1022_2012,judgement_C.A.946-2014,0.9996
C.A._1022_2012,judgement_C.P.L.A.2243-L-2019,0.9995
C.A._1022_2012,judgement_H.R.C.8340-2009,0.9995
C.A._1022_2012,judgement_C.R.P.420-2016,0.9995
C.A._1022_2012,judgement_Crl.P.L.A.519-2023,0.9995
C.A._1022_2012,judgement_C.P.33-2005,0.9995
C.A._1022_2012,judgement_C.P.L.A.42-2024,0.9995
C.A._1125_2014,judgement_C.A.1125-2014,1.0
C.A._1125_2014,judgement_C.P.L.A.3317-2018,0.999
C.A._1125_2014,C.A._308_2014,0.9989
C.A._1125_2014,judgement_C.A.308-2014,0.9989
C.A._1125_2014,judgement_Crl.M.A.459-2020,0.9988
C.A._1125_2014,judgement_C.A.6-2016,0.9988
C.A._1125_2014,judgement_C.P.L.A.664-K-2017,0.9988
C.A._1125_2014,judgement_C.P.L.A.687-2022,0.9988
C.A._1125_2014,judgement_C.A.224-2003,0.9988
C.A._1125_2014,judgement_S.M.C.5-2010,0.9988
