Query Case No.,Similar Case No.,Similarity Score
C.A._1022_2012,C.A._1125_2014,0.9979
C.A._1022_2012,C.A._1194_2014,0.9979
C.A._1022_2012,C.A._308_2014,0.9991
C.A._1022_2012,C.A._2133_2006,0.9987
C.A._1022_2012,C.A._340_2002,0.9989
C.A._1022_2012,C.A._697_2008,0.9993
C.A._1022_2012,C.A.194-P_2010,0.9988
C.A._1022_2012,C.A._424_2015,0.9989
C.A._1022_2012,C.P._689-L_2015,0.9985
C.A._1022_2012,ca.1038_2000,0.9989
C.A._1022_2012,C.A._870_2014,0.999
C.A._1022_2012,C.P._130_2015,0.9987
C.A._1022_2012,cpla_784_2014,0.9963
C.A._1022_2012,C.A._861_2007,0.999
C.A._1022_2012,cma_193-194_2013,0.9985
C.A._1022_2012,cps_853-876_2014,0.9907
C.A._1022_2012,C.A._503_2006,0.9987
C.A._1022_2012,Crl.O.P.92of2013,0.9949
C.A._1022_2012,Crl.A._12-P_2011,0.9988
C.A._1022_2012,Crl.P._15_2015,0.9986
C.A._1022_2012,Crl.P._604_2015,0.9986
C.A._1022_2012,judgement_,0.9983
C.A._1022_2012,Crl.A._24_2010,0.9985
C.A._1022_2012,Crl.O.P.92of2013-dt-9-10-2013,0.9985
C.A._1022_2012,judgement_C.A.10-2021,0.9989
C.A._1022_2012,judgement_C.A.1000-2006,0.9989
C.A._1022_2012,judgement_C.A.10-K-2019,0.9987
C.A._1022_2012,judgement_C.A.10-Q-2021,0.9989
C.A._1022_2012,judgement_C.A.1000-2020,0.9989
C.A._1022_2012,judgement_C.A.101-2011,0.9988
C.A._1022_2012,judgement_C.A.101-K-2022,0.9991
C.A._1022_2012,const.p.6_2011_final,0.9988
C.A._1022_2012,judgement_C.A.1009-2010,0.999
C.A._1022_2012,judgement_C.A.1011-2024,0.999
C.A._1022_2012,judgement_C.A.1022-2012,1.0
C.A._1022_2012,judgement_C.A.1002-2014,0.9994
C.A._1022_2012,judgement_C.A.1018-2016,0.999
C.A._1022_2012,judgement_C.A.1038-2000,0.9989
C.A._1022_2012,judgement_C.A.1010-2020,0.9989
C.A._1022_2012,judgement_C.A.1046-2024,0.9994
C.A._1022_2012,judgement_C.A.1033-2014,0.9993
C.A._1022_2012,judgement_C.A.1042-2018,0.999
C.A._1022_2012,judgement_C.A.1076-2019,0.9993
C.A._1022_2012,judgement_C.A.1109-2013,0.9975
C.A._1022_2012,judgement_C.A.1079-2015,0.9991
C.A._1022_2012,judgement_C.A.110-L-2013,0.9989
C.A._1022_2012,judgement_C.A.108-2015,0.9989
C.A._1022_2012,judgement_C.A.1125-2014,0.9979
C.A._1022_2012,judgement_C.A.1122-2013,0.9987
C.A._1022_2012,judgement_C.A.1125-2007,0.9989
C.A._1022_2012,judgement_C.A.1132-2007,0.9988
C.A._1022_2012,judgement_C.A.1086-2009,0.9988
C.A._1022_2012,judgement_C.A.1149-2015,0.9987
C.A._1022_2012,judgement_C.A.1137-2008,0.9989
C.A._1022_2012,judgement_C.A.1167-2020,0.9988
C.A._1022_2012,judgement_C.A.1169-2014,0.9988
C.A._1022_2012,judgement_C.A.1194-2014,0.9979
C.A._1022_2012,judgement_C.A.1184-2011,0.9985
C.A._1022_2012,judgement_C.A.1171-2013,0.9986
C.A._1022_2012,judgement_C.A.1208-2011,0.9987
C.A._1022_2012,judgement_C.A.1207-2004,0.9989
C.A._1022_2012,judgement_C.A.1191-2016,0.9989
C.A._1022_2012,judgement_C.A.1213-2015,0.9997
C.A._1022_2012,judgement_C.A.1219-2014,0.9993
C.A._1022_2012,judgement_C.A.1241-2013,0.9988
C.A._1022_2012,judgement_C.A.1255-2012,0.9988
C.A._1022_2012,judgement_C.A.1286-2018,0.9989
C.A._1022_2012,judgement_C.A.1291-2005,0.999
C.A._1022_2012,judgement_C.A.1340-2018,0.9985
C.A._1022_2012,judgement_C.A.1242-2013,0.999
C.A._1022_2012,judgement_C.A.125-K-2016,0.9988
C.A._1022_2012,judgement_C.A.134-P-2013,0.9987
C.A._1022_2012,judgement_C.A.1388-2017,0.9989
C.A._1022_2012,judgement_C.A.1359-2014,0.999
C.A._1022_2012,judgement_C.A.1355-2006,0.9988
C.A._1022_2012,judgement_C.A.1428-2015,0.999
C.A._1022_2012,judgement_C.A.1113-2017,0.9989
C.A._1022_2012,judgement_C.A.139-2013,0.9982
C.A._1022_2012,judgement_C.A.14-L-2013,0.9988
C.A._1022_2012,judgement_C.A.1460-2013,0.999
C.A._1022_2012,judgement_C.A.140-L-2015,0.9987
C.A._1022_2012,judgement_C.A.1496-2019,0.9987
C.A._1022_2012,judgement_C.A.1519-2013,0.9987
C.A._1022_2012,judgement_C.A.1491-2013,0.9994
C.A._1022_2012,judgement_C.A.1525-2016,0.9989
C.A._1022_2012,judgement_C.A.149-2010,0.9989
C.A._1022_2012,judgement_C.A.150-2006,0.9989
C.A._1022_2012,judgement_C.A.1540-2006,0.9989
C.A._1022_2012,judgement_C.A.1546-2019,0.9989
C.A._1022_2012,judgement_C.A.1562-2020,0.999
C.A._1022_2012,judgement_C.A.1595-2019,0.9984
C.A._1022_2012,judgement_C.A.1560-2008,0.9987
C.A._1022_2012,judgement_C.A.157-K-2016,0.9991
C.A._1022_2012,judgement_C.A.1612-2018,0.9987
C.A._1022_2012,judgement_C.A.16-2010,0.9988
C.A._1022_2012,judgement_C.A.1600-2006,0.9989
C.A._1022_2012,judgement_C.A.1628-2014,0.9991
C.A._1022_2012,judgement_C.A.1618-2019,0.9989
C.A._1022_2012,judgement_C.A.1547-2019,0.9989
C.A._1022_2012,judgement_C.A.167-Q-2005,0.9987
C.A._1022_2012,judgement_C.A.1671-2021,0.999
C.A._1022_2012,judgement_C.A.1646-2000,0.9989
C.A._1022_2012,judgement_C.A.1793-2016,0.9987
C.A._1022_2012,judgement_C.A.1767-2019,0.9989
C.A._1022_2012,judgement_C.A.180-2015,0.9989
C.A._1022_2012,judgement_C.A.1797-2005,0.9991
C.A._1022_2012,judgement_C.A.185-2015,0.9991
C.A._1022_2012,judgement_C.A.185-L-2015,0.9991
C.A._1022_2012,judgement_C.A.1476-2018,0.9988
C.A._1022_2012,judgement_C.A.176-2015,0.9987
C.A._1022_2012,judgement_C.A.194-P-2010,0.9988
C.A._1022_2012,judgement_C.A.1772-2008,0.9989
C.A._1022_2012,judgement_C.A.1890-2002,0.9987
C.A._1022_2012,judgement_C.A.196-P-2014,0.9985
C.A._1022_2012,judgement_C.A.2013-2022,0.9988
C.A._1022_2012,judgement_C.A.194-2015,0.9989
C.A._1022_2012,judgement_C.A.2084-2016,0.9993
C.A._1022_2012,judgement_C.A.209-2025,0.9988
C.A._1022_2012,judgement_C.A.219-L-2015,0.9939
C.A._1022_2012,judgement_C.A.2133-2006,0.9987
C.A._1022_2012,judgement_C.A.204-L-2015,0.9993
C.A._1022_2012,judgement_C.A.212-2011,0.9988
C.A._1022_2012,judgement_C.A.221-2018,0.9989
C.A._1022_2012,judgement_C.A.2109-2016,0.9989
C.A._1022_2012,judgement_C.A.226-P-2018,0.999
